genres,original_language,popularity,budget,revenue,runtime,vote_average,vote_count
Comedy,en,28.081,48000,120989.656,118,7.6,2491
Drama,en,28.068,8200,80035.402,107,6.7,1749
Comedy,en,28.006,35000,131095.99,110,7.1,4943
Drama,en,27.998,40000,243240.178,138,7.511,2993
Drama,fr,27.966,4645.437,9757.417,95,6.4,1055
Drama,en,27.886,5000,4842.699,121,6.1,133
Drama,en,27.872,15000,356296.601,122,8.031,10841
Comedy,en,27.867,48000,112462.508,101,5.474,1767
Drama,en,27.8,73000,151493.655,118,6.771,3019
Drama,en,27.749,15000,24121.245,115,7.105,4347
Comedy,en,27.726,7000,6265.483,94,4.636,129
Comedy,en,27.719,50000,56722.693,100,4.866,1992
Drama,en,27.697,23000,179519.401,99,6.966,1094
Comedy,en,27.653,2700,141000,109,7,1289
Drama,en,27.601,18000,17643.857,96,7.3,955
Drama,en,27.505,8000,43004.381,113,7.541,2381
Drama,en,27.498,50000,314178.011,139,7.395,3280
Comedy,en,27.495,55000,259207.227,96,7.1,3465
Comedy,en,27.466,2500,9500,114,7.687,3746
Comedy,en,27.446,3000,1108.462,103,7.3,1488
Comedy,en,27.218,12000,107600,84,5.764,1040
Comedy,en,27.201,19000,17665,103,6.8,479
Drama,en,27.169,1750,2181.987,145,8.1,1640
Comedy,en,27.15,69000,180613.18,100,6.3,2254
Comedy,en,27.111,22700,38119.483,96,6.827,2530
Drama,en,27.04,65000,217764.291,120,7.2,4805
Drama,en,26.971,76000,70595.464,109,7.603,6229
Drama,en,26.966,110000,121790.373,107,6.8,4015
Comedy,en,26.956,30000,54819.301,92,5.791,488
Drama,en,26.93,11000,791.867,108,6.7,2210
Comedy,en,26.843,30000,10772.144,88,6.033,812
Comedy,en,26.832,100000,119559.11,86,6.5,590
Drama,en,26.737,12000,140312.928,118,8.083,5984
Comedy,en,26.715,40000,138259.062,99,5.8,1376
Drama,en,26.687,20000,187000,134,7.949,10204
Drama,en,26.668,3200,33395.426,138,7.8,3603
Drama,en,26.659,50000,83719.388,141,7.309,3581
Comedy,en,26.639,15000,90404.8,116,7.2,2811
Drama,en,26.615,38000,90247.624,123,7.71,6461
Comedy,en,26.598,39000,288752.301,117,6.9,3731
Comedy,en,26.587,30000,13521.829,86,5.1,472
Comedy,en,26.587,40000,38087.756,95,5.864,1996
Drama,en,26.545,44000,155760.117,188,7.744,12937
Drama,en,26.542,40000,251171.807,138,6.843,6614
Drama,en,26.484,65000,163442.937,137,7.4,3749
Drama,en,26.409,18000,2300,137,7.758,6203
Comedy,en,26.379,27.575,3151.13,92,7.4,2306
Comedy,en,26.367,38000,321682.6,96,6.494,3176
Drama,en,26.27,20000,61276.872,107,7.752,3923
Comedy,en,26.255,80000,516642.939,115,6.2,4461
Drama,en,26.156,11000,78274.843,106,7.4,3935
Comedy,en,26.093,22000,40120.144,91,5.3,391
